iter	Passed	Remaining
0	1	162
1	2	146
2	4	140
3	5	133
4	6	131
5	8	128
6	9	127
7	10	124
8	12	124
9	13	123
10	14	121
11	16	119
12	17	117
13	18	116
14	20	114
15	21	112
16	22	111
17	24	109
18	25	108
19	27	109
20	28	108
21	30	107
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	38	97
28	39	96
29	40	95
30	42	94
31	43	93
32	44	91
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	52	82
39	54	81
40	55	79
41	55	77
42	57	76
43	58	74
44	60	73
45	61	72
46	62	71
47	64	69
48	65	68
49	67	67
50	68	65
51	69	64
52	73	65
53	75	64
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	53
61	85	52
62	86	51
63	88	49
64	89	48
65	91	46
66	92	45
67	93	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	102	36
74	103	34
75	105	33
76	106	31
77	108	30
78	109	29
79	110	27
80	112	26
81	113	24
82	114	23
83	116	22
84	118	20
85	119	19
86	121	18
87	122	16
88	123	15
89	125	13
90	126	12
91	128	11
92	129	9
93	130	8
94	132	6
95	133	5
96	134	4
97	136	2
98	137	1
99	138	0
